Age,90NJune,60NJune,30NJune,0 June,30SJune,60SJune,90SJune
-949,500.6,453.65,449.1,362.32,198.8,20.11,0
-950,509.54,461.45,456.35,367.88,201.58,20.17,0
-951,522.13,472.59,466.97,376.18,205.9,20.42,0
-952,537.53,486.33,480.21,386.63,211.44,20.81,0
-953,554.62,501.64,495.08,398.45,217.76,21.32,0
-954,572.04,517.3,510.37,410.66,224.35,21.89,0
-955,588.29,531.96,524.78,422.22,230.63,22.48,0
-956,601.89,544.28,536.99,432.07,236.04,23.03,0
-957,611.5,553.08,545.83,439.29,240.08,23.5,0
-958,616.14,557.44,550.42,443.16,242.35,23.85,0
-959,615.24,556.87,550.24,443.26,242.62,24.06,0
-960,608.79,551.34,545.26,439.56,240.87,24.11,0
-961,597.3,541.29,535.9,432.37,237.25,24.01,0
-962,581.74,527.6,523,422.37,232.13,23.8,0
-963,563.45,511.46,507.71,410.46,225.98,23.5,0
-964,543.98,494.26,491.38,397.73,219.39,23.16,0
-965,524.91,477.42,475.41,385.29,212.96,22.84,0
-966,507.7,462.28,461.1,374.18,207.25,22.6,0
-967,493.61,449.96,449.59,365.32,202.78,22.48,0
-968,483.6,441.34,441.74,359.42,199.93,22.53,0
-969,478.3,436.99,438.11,356.94,198.97,22.77,0
-970,477.95,437.15,438.98,358.09,200,23.23,0
-971,482.48,441.74,444.25,362.81,203.01,23.9,0
-972,491.44,450.36,453.52,370.76,207.8,24.76,0
-973,504.06,462.28,466.06,381.34,214.03,25.76,0
-974,519.24,476.51,480.83,393.7,221.21,26.83,0
-975,535.66,491.8,496.59,406.81,228.76,27.91,0
-976,551.84,506.79,511.91,419.48,235.99,28.88,0
-977,566.31,520.11,525.4,430.56,242.25,29.67,0
-978,577.74,530.51,535.79,439,246.92,30.18,0
-979,585.08,537.06,542.11,444,249.57,30.36,0
-980,587.75,539.19,543.82,445.11,249.94,30.19,0
-981,585.63,536.83,540.84,442.3,248.03,29.67,0
-982,579.11,530.37,533.61,435.93,244.05,28.84,0
-983,569.04,520.59,522.95,426.71,238.43,27.78,0
-984,556.56,508.57,510,415.58,231.72,26.58,0
-985,542.99,495.55,496.02,403.6,224.52,25.31,0
-986,529.66,482.77,482.29,391.85,217.46,24.07,0
-987,517.8,471.35,469.97,381.26,211.07,22.93,0
-988,508.42,462.24,460,372.61,205.79,21.94,0
-989,502.25,456.1,453.05,366.47,201.93,21.14,0
-990,499.73,453.32,449.53,363.14,199.67,20.55,0
-991,500.97,454.02,449.54,362.72,199.05,20.17,0
-992,505.79,458.02,452.92,365.08,200.02,19.99,0
-993,513.74,464.92,459.27,369.9,202.4,20.01,0
-994,524.1,474.09,467.98,376.7,205.93,20.2,0
-995,536,484.72,478.27,384.85,210.27,20.54,0
-996,548.4,495.91,489.25,393.65,215.05,20.98,0
-997,560.27,506.7,500,402.37,219.87,21.5,0
-998,570.58,516.2,509.64,410.3,224.35,22.06,0
-999,578.51,523.64,517.42,416.83,228.16,22.63,0
-1000,583.43,528.46,522.77,421.5,231.05,23.19,0
